Month,Day,Hour,PV-1 Solar Power,PV-2 Solar Power
2,4,2,0.0,0.0
2,4,3,0.0,0.0
2,4,4,0.0,0.0
2,4,5,0.0,0.0
2,4,6,0.0,0.0
2,4,7,0.0,0.0
2,4,8,0.0,0.0
2,4,9,0.518524,0.666917
2,4,10,24.784059000000003,32.466519
2,4,11,60.756122000000005,80.014166
2,4,12,91.933897,121.80335799999999
2,4,13,105.80564,140.583223
2,4,14,109.58337300000001,145.74119399999998
2,4,15,103.565097,137.60234400000002
2,4,16,88.10174400000001,116.75856200000001
2,4,17,53.266405,70.1871
2,4,18,12.742785,16.691456
2,4,19,-0.0,-0.0
2,4,20,0.0,0.0
2,4,21,0.0,0.0
2,4,22,0.0,0.0
2,4,23,0.0,0.0
2,5,0,0.0,0.0
2,5,1,0.0,0.0
2,5,2,0.0,0.0
2,5,3,0.0,0.0
2,5,4,0.0,0.0
2,5,5,0.0,0.0
2,5,6,0.0,0.0
2,5,7,0.0,0.0
2,5,8,0.0,0.0
2,5,9,1.627053,2.119386
2,5,10,25.357259,33.245796
2,5,11,56.401999,74.314791
2,5,12,74.296832,98.19828
2,5,13,89.78407899999999,119.003322
2,5,14,98.75736900000001,131.19839499999998
2,5,15,94.22976,125.160682
2,5,16,83.19236599999999,110.345291
2,5,17,45.799142999999994,60.294861
2,5,18,22.926946,30.065889
2,5,19,0.16545400000000002,0.20568899999999998
2,5,20,0.0,0.0
2,5,21,0.0,0.0
2,5,22,0.0,0.0
2,5,23,0.0,0.0
2,6,0,0.0,0.0
2,6,1,0.0,0.0
2,6,2,0.0,0.0
2,6,3,0.0,0.0
2,6,4,0.0,0.0
2,6,5,0.0,0.0
2,6,6,0.0,0.0
2,6,7,0.0,0.0
2,6,8,0.0,0.0
2,6,9,0.348216,0.444457
2,6,10,12.159429,15.910024
2,6,11,57.471587,75.631057
2,6,12,84.48414100000001,111.695286
2,6,13,86.54903200000001,114.56827
2,6,14,82.271894,108.905051
2,6,15,82.047502,108.65875199999999
2,6,16,54.623684999999995,72.002311
2,6,17,36.995608999999995,48.624535
2,6,18,9.680804,12.675034
2,6,19,-0.0,-0.0
2,6,20,0.0,0.0
2,6,21,0.0,0.0
2,6,22,0.0,0.0
